Institution Number,PI Last Name,PI First Name,PI Department Name,Investigator ALL Last Name,Investigator ALL First Name,Investigator ALL Dept or Unit,Sponsor Name,Project Title,Requested Project Period Start Date,Requested Project Period End Date,Project Total Requested Sponsor Costs (entire project),Current Proposal Status,Current Proposal Status Date,ARRA Funding,Sponsor Award Number
PT094987,Ryan,John,Biology,Ryan~,John~,Biology~,National Institute of Allergy and Infectious Diseases/NIH/DHHS,Control of Mast Cell Homeostasis by Interleukin-10,1-Jul-05,30-Jun-10,1659255,Award Destroyed,6-Feb-14,N,1R56AI059638-01A2
PT094988,Rhodes,Anne,Survey and Evaluation Research Laboratory,Rhodes~,Anne~,Survey and Evaluation Research Laboratory~,Old Dominion University,Telephone Survey of Waterfront Property Owners Regarding Fishing for Blue Crabs,1-Mar-05,31-Dec-05,59400,Award Destroyed,4-Feb-13,N,NA
PT094991,Churn,Severn,Neurology,Churn~,Severn~,Neurology~,National Institutes of Health,Molecular Mechanisms of Receptor Function in SE,1-Dec-05,30-Nov-10,367600,Proposal Withdrawn,8-Dec-05,N,2R01NS039970-05
PT094992,Fatouros,Panos,Radiology,Fatouros~,Panos~,Radiology~,National Institutes of Health,Metallofullerene Molecular Imaging and Targeting of Glioma,1-Jul-05,30-Jun-09,461164,Proposal Not Awarded,8-Dec-05,N,NA
PT094994,Kellogg,Glen,Medicinal Chemistry Pharmacy,Kellogg~,Glen~,Medicinal Chemistry Pharmacy~,University of Virginia,Structure-activity Relationship of FXR-ligands,1-Jun-05,31-May-10,25492,Proposal Not Awarded,31-Mar-06,N,NA
PT094995,Taxman,Faye,Deans Office - Humanities and Sciences,Taxman~Young~,Faye~Douglas~,Wilder School of Government and Public Affairs~Department of Juvenile Justice~,National Institute on Drug Abuse/NIH/DHHS,Assessment and Referral Technologies in Juvenile Justice,1-Oct-05,30-Sep-10,858850,Award Archived,26-Sep-11,N,5R01DA018759-02
PT094996,Delorenzo,Robert,Neurology,Delorenzo~,Robert~,Neurology~,National Institutes of Health,Molecular Mechanisms of Neuronal Excitability,1-Jun-05,30-Jun-10,372500,Proposal Not Awarded,17-Mar-05,N,2R01NS023350-21A1
PT094997,Delorenzo,Robert,Neurology,Delorenzo~,Robert~,Neurology~,National Institutes of Health,Status Epilepticus: A Clinical and Epidemiological Study,1-Jun-05,30-Jun-10,703013,Proposal Not Awarded,18-Apr-05,N,1R01NS47212-01A2
PT094998,Grotewiel,Michael,Human and Molecular Genetics,Grotewiel~,Michael~,Human and Molecular Genetics~,National Institutes of Health,Genetic Dissection of Locomotor Senescence in Drosophila,1-Jul-05,30-Jun-07,223500,Proposal Not Awarded,23-Aug-05,N,1R21AG024259-01A1
PT095000,Bukaveckas,Bonny,Pharmacotherapy & Outcomes Science,Bukaveckas~,Bonny~,Pharmacotherapy & Outcomes Science~,University of Louisville,Race_ SHBG and Pituitary-Testicular Function,1-Jul-05,30-Jun-10,6386,Proposal Not Awarded,31-Mar-06,N,NA
PT095001,Brophy,Gretchen,Pharmacotherapy & Outcomes Science,Brophy~,Gretchen~,Pharmacotherapy & Outcomes Science~,University of Florida,Multi-Scale Modeling of the Dynamics of Biomarkers for Traumatic Brain Injury,1-Jun-05,31-May-08,32273,Proposal Not Awarded,31-Mar-06,N,NSF04-607
PT095002,Bentley,Kia,MSW Program,Bentley~,Kia~,MSW Program~,National Institute of Child Health and Human Development/NIH/DHHS,An Ecological Model of Adjustment for Adolescent Siblings of Youth with Spina Bifida,1-Jun-05,1-Jun-06,20772,Award Destroyed,14-Jan-13,N,F31HD047998
PT095004,Costanzo,Richard,Physiology and Biophysics,Costanzo~,Richard~,Physiology and Biophysics~,National Institutes of Health,Properties of Olfactory Receptors - Neural Regeneration,1-Jul-05,30-Jun-08,223500,Proposal Withdrawn,8-Dec-05,N,2R01DC000165-20A1
PT095005,Damaj,M,Pharmacology and Toxicology,Damaj~,M~,Pharmacology and Toxicology~,National Institutes of Health,The Role of Calcium-dependent Mechanisms in Nicotine's Tolerance and Effects,1-Jul-05,30-Jun-10,223500,Proposal Withdrawn,8-Dec-05,N,2R01DA012610-04
PT095006,Elmore,Lynne,Pathology,Elmore~,Lynne~,Pathology~,National Cancer Institute/NIH/DHHS,Genomic Instability and Senescence in Breast Cancer,1-Sep-05,31-Aug-11,606519,Award Archived,18-Oct-12,N,5K01CA105050-05
PT095007,El-Shall,Mohamed,Chemistry,El-Shall~,Mohamed~,Chemistry~,National Science Foundation,Preparation and Characterization of Nano-structured ZnO_ SnO2 Semiconductors and their Composites as Gas Sensor Materials,1-Jul-05,31-Aug-09,29640,Award Closed,21-Feb-13,N,OISE0519425-001
PT095009,Barton,William,Medicinal Chemistry Pharmacy,Barton~,William~,Biochemistry and Molecular Biology~,Memorial Sloan-Kettering Cancer Center,Specialized Center for Structural Genomics,1-Jul-05,30-Jun-10,185135,Proposal Not Awarded,17-Mar-06,N,Sloan-Kettering Institute
PT095010,Christie,Gail,Microbiology and Immunology,Christie~,Gail~,Microbiology and Immunology~,University of Maryland,Phage-Mediated Transfer of Staphylococcal Enterotoxin Genes,1-Mar-05,28-Feb-06,148999,Proposal Not Awarded,31-Mar-06,N,NA
PT095011,Lewis,Janina,Oral and Craniofacial Molecular Biology,Lewis~Ware~,Janina~Joy~,Oral and Craniofacial Molecular Biology~Pathology~,National Institute of Dental and Craniofacial Research/NIH/DHHS,Molecular Basis of Oral Microbial Adhesion,1-Jun-05,31-Aug-10,1192000,Award Archived,18-Oct-12,N,5R01DE016124-04
PT095012,Cook,Charles,Pharmacology and Toxicology,Cook~,Charles~,Pharmacology and Toxicology~,National Institutes of Health,Sex Differences in Chronic Pain and Opiod Effects,1-Jul-05,30-Jun-10,260750,Proposal Not Awarded,20-Apr-05,N,1R01DA018757-01A1
PT095013,Oh,Youngman,Pathology,Oh~,Youngman~,Pathology~,American Association for Cancer Research,Impact on the Novel Tumor-Suppressing IGFBP-3/IGFBP-3R in Lung Cancer,1-Jul-05,30-Jun-08,30000,Proposal Not Awarded,31-Mar-06,N,NA
PT095014,Fuss,Babette,Anatomy and Neurobiology,Fuss~,Babette~,Anatomy and Neurobiology~,National Institutes of Health,Novel Mechanisms in CNS Myelination: Role of PD-lalpha/ATX,1-Jan-05,31-Dec-06,69000,Proposal Not Awarded,28-Apr-06,N,NA
PT095015,Aisiku,Imoigele,Emergency Medicine,Aisiku~,Imoigele~,Anesthesiology~,Society for Academic Emergency Medicine,Vaso-occlusion: Microcirculatory Dysfunction and Pain in SCD,1-Jul-04,30-Jun-05,59990,Proposal Not Awarded,23-Mar-05,N,NA
PT095016,Quick,Quincy,Pharmacology and Toxicology,Quick~,Quincy~,Pharmacology and Toxicology~,National Institutes of Health,Radiosensitizatino and Senescence in Glioblastomas,1-Jul-05,30-Jun-10,100062,Proposal Not Awarded,21-Apr-05,N,1K01CA112494-01
PT095017,Sawyer,Stephen,Pharmacology and Toxicology,Sawyer~,Stephen~,Pharmacology and Toxicology~,National Institutes of Health,Erythropoietin Receptor Signaling and Metabolism,1-Jul-05,30-Jun-10,298000,Proposal Not Awarded,17-Mar-05,N,2R01DK39781-15A1
PT095018,Fillmore,Helen,Neurosurgery,Fillmore~,Helen~,Neurosurgery~,National Science Foundation,Cytostructural Invadopodia: Tumorigenesis: Multi-Scale Mathematical Modeling and Computer Simulation Bridging Nano-_ Micro-_ and Milli-Scales,1-Jul-05,30-Jun-08,33353,Proposal Not Awarded,4-Aug-06,N,NA
PT095019,Desimone,John,Physiology and Biophysics,Desimone~,John~,Physiology and Biophysics~,National Institutes of Health,Physicochemical Investigation of Taste,1-Jul-04,30-Jun-10,296702,Proposal Withdrawn,8-Dec-05,N,2R01DC00122-26A1
PT095020,Moon,Martha,Integrative Systems - Nursing,Moon~Lipp~,Martha~Susan~,Family and Community Health Nursing~Deans Office - Nursing~,University of Virginia,Expansion of Nursing Education in Southside and Southwest Virginia,1-Jul-05,30-Dec-06,108288,Award Destroyed,30-Aug-12,N,NA
PT095021,Lanning,David,Surgery,Lanning~,David~,Surgery~,Center for Health Professions,Cell Signaling in TGF-beta-induced Fetal Excisional Wound Healing,1-Jul-05,30-Jun-09,182872,Proposal Not Awarded,27-Apr-06,N,NA
PT095022,Bodamer,Cheryl,Obstetrics and Gynecology,Bodamer~,Cheryl~,Obstetrics and Gynecology~,March of Dimes Birth Defects Foundation_ Virginia,The Cost of Preterm Births,1-Feb-05,31-Jan-06,40000,Proposal Not Awarded,17-Mar-06,N,NA
PT095023,Fawcett,Paul,Infectious Disease,Fawcett~,Paul~,Infectious Disease~,Burroughs Wellcome Fund,Mechanisms of Bacterial Pathogen Detection in the Host Cell Cytoplasm,1-Jul-05,30-Jun-10,79990,Proposal Not Awarded,22-Mar-06,N,NA
PT095025,Kepley,Christopher,Rheumatology_ Allergy_ and Immunology,Kepley~,Christopher~,Microbiology and Immunology~,National Institutes of Health,Parameters of Human Mast Cell Desensitization,1-Jul-05,30-Jun-09,323000,Proposal Not Awarded,17-Mar-05,N,1R01AI061488-01A1
PT095026,Rozycki,Henry,Pediatrics,Rozycki~,Henry~,Pediatrics~,National Institutes of Health,The Role of NF-kB in Hyperoxic Premature Lung Explants,1-Jul-05,30-Jun-07,211250,Proposal Not Awarded,12-Apr-05,N,1R21HL078883-01A1
PT095027,Ohman,Dennis,Microbiology and Immunology,Ohman~,Dennis~,Microbiology and Immunology~,National Institutes of Health,Protease Secretion in Pseudomonas Aeruginosa,1-Jul-05,30-Jun-10,366130,Proposal Not Awarded,17-Mar-05,N,2R01AI26187-14
PT095028,Fisher,Robert,Surgery,Fisher~,Robert~,Surgery~,National Institutes of Health,Genes Related to HCC Progression in LD and DD Transplant,1-Jul-05,30-Jun-09,668503,Proposal Withdrawn,8-Dec-05,N,1R01DK069859-01A1
PT095029,Abell,Melissa,MSW Program,Abell~,Melissa~,MSW Program~,Fahs-Beck Fund for Research and Experimentation,Evaluation of the Multi-Family Group Weekend Retreat,1-Jul-05,30-Jun-06,15000,Proposal Not Awarded,21-Mar-06,N,NA
PT095030,Pidaparti,Ramana,Mechanical Engineering,Pidaparti~,Ramana~,Mechanical Engineering~,National Science Foundation,Evolution of Chemical Elements During Degradation of Corrosion in Metals,1-Jul-05,31-Jul-10,351464,Award Archived,30-Jun-11,N,DMR-0505039
PT095031,Tye,Gary,Neurosurgery,Tye~,Gary~,Neurosurgery~,Neurosurgery Research and Education Foundation,Targeting AKT Signaling in Medulloblastoma,1-Jul-05,30-Jun-06,40000,Proposal Not Awarded,31-Mar-06,N,NA
PT095032,Gottfredson,Stephen,Deans Office - Humanities and Sciences,Steingass~Gottfredson~,S~Stephen~,Deans Office - Humanities and Sciences~Deans Office - Humanities and Sciences~,Department of Education,The Comprehensive Program Fund for the Improvement of Postsecondary Education,1-Jul-05,30-Jun-08,396750,Proposal Not Awarded,28-Apr-06,N,NA
PT095033,Holsworth,Robert,Wilder School of Government and Public Affairs,Holsworth~,Robert~,Wilder School of Government and Public Affairs~,Department of Education,Higher Education Consumer Report,1-Jul-05,1-Jun-08,323185,Proposal Not Awarded,31-Mar-06,N,NA
PT095034,Ornato,Joseph,Emergency Medicine,Ornato~,Joseph~,Emergency Medicine~,Society for Academic Emergency Medicine,EMS Research Fellowship Grant-Host Application,1-Jan-05,31-Dec-05,60000,Proposal Not Awarded,31-Mar-06,N,NA
PT095035,Bandyopadhyay,Supriyo,Electrical and Computer Engineering,Bandyopadhyay~,Supriyo~,Electrical and Computer Engineering~,Rensselaer Polytechnic Institute,Spin Transport in Molecules and Carbon Nanotubes: Spintronics at Nanoscale,1-Jul-05,30-Jun-09,90000,Proposal Not Awarded,10-Apr-06,N,NSF04-043
PT095036,Corey,Linda,Human and Molecular Genetics,Corey~,Linda~,Human and Molecular Genetics~,National Institutes of Health,Genetic Epidemiology of Seizures: A Twin Study,1-Sep-05,31-Aug-10,1186840,Proposal Withdrawn,8-Dec-05,N,2R01NS031564-11
PT095037,Bukaveckas,Paul,Biology,Bukaveckas~,Paul~,Biology~,National Science Foundation,Complexity Analyses of Ecological and Economic Factors,1-Oct-05,30-Sep-09,435951,Proposal Not Awarded,21-Apr-05,N,508004
PT095038,Schuman,Paula,Quality Health Care,Schuman~,Paula~,No Home Department~,Center for Infectious Disease on Research in Zambia,Response to HAART in Zambians with Diarrhea and HIV/AIDS,1-Jun-05,31-May-09,30473,Proposal Not Awarded,31-Mar-06,N,NA
PT095039,Macrina,Francis,Deans Office - Dentistry,Macrina~,Francis~,Office of Research~,University of California_ San Diego,Standards of Scientific Conflict,1-Jul-05,30-Jun-07,39038,Proposal Not Awarded,31-Mar-06,N,R01NR009962-01
PT095040,Fallacaro,Michael,Nurse Anesthesia,Fallacaro~,Michael~,Nurse Anesthesia~,Department of Health & Human Services,Nurse Anesthetist Traineeships FY2002,1-Jul-02,30-Jun-03,228800,Award Destroyed,20-Nov-12,N,2A22HP00027-03
PT095041,Longest,Philip,Mechanical Engineering,Longest~,Philip~,Mechanical Engineering~,National Science Foundation,An Integrated Multi-Scale Virtual Model for Assessing the Role of Diesel Exhaust Particles in Adult and Childhood Asthma,1-Jul-05,30-Jun-08,342998,Proposal Not Awarded,26-Jun-05,N,NSF04-607
PT095043,Lloyd,Joyce,Human and Molecular Genetics,Lloyd~,Joyce~,Human and Molecular Genetics~,National Institutes of Health,KLF2 and the Profile of Mouse Primitive Erythropoiesis,1-May-05,30-Apr-08,39634,Proposal Not Awarded,28-Apr-05,N,1F31DK072548-01
PT095044,Jena,Puru,Physics,Jena~,Puru~,Physics~,University of Virginia,NIRT: Compositionally Challenged Alloys - Synthesis_ Structure,1-Jul-05,30-Jun-09,70000,Proposal Not Awarded,31-Mar-06,N,NSF04-043
PT095045,Dent,Paul,Radiation Oncology,Fisher~Grant~Benedict~Dent~Yacoub~Fisher~Fisher~,Paul~Steven~Stanley~Paul~Adly~Paul~Paul~,Human and Molecular Genetics~Hematology/Oncology - Internal Medicine~Radiation Oncology~Biochemistry and Molecular Biology~Neurosurgery~Pathology~Columbia University~,National Cancer Institute/NIH/DHHS,MDA-7IL-24 and Free Radicals in Renal Cancer Therapy,1-Jun-05,31-Jul-10,1499653,Award Closed,11-Dec-12,N,5R01CA108520-05R
PT095046,Morkoc,Hadis,Electrical and Computer Engineering,Morkoc~,Hadis~,Electrical and Computer Engineering~,University of North Texas,Ultralow Threshold Tb/s All-optical Switching based on Intersubband Transitions in GaN Nanostructures,1-Apr-05,31-Mar-08,36830,Proposal Not Awarded,6-Apr-06,N,501576
PT095047,Peters,Michael,Chemical Engineering,Peters~,Michael~,Chemical Engineering~,Florida State University,Controlled Drug Delivery from Nanoengineered Hydrogels,1-Dec-04,30-Nov-09,20439,Proposal Not Awarded,20-Aug-05,N,NA
PT095048,Tepper,Gary,Mechanical Engineering,Tepper~,Gary~,Mechanical Engineering~,National Science Foundation,Molecularly Imprinted Polymers for Chemical Recognition and Identification,1-Jul-05,30-Jun-09,499525,Proposal Not Awarded,26-Jun-05,N,NA
PT095049,Pidaparti,Ramana,Mechanical Engineering,Pidaparti~,Ramana~,Mechanical Engineering~,National Science Foundation,Multiscale Transport_ Absorption and Structural Interaction Effects of Inhaled Nanoparticles,1-Jul-05,30-Jun-09,444103,Proposal Not Awarded,10-May-05,N,6419595
PT095050,Bandyopadhyay,Supriyo,Electrical and Computer Engineering,Bandyopadhyay~Wang~Mazumder~,Supriyo~Kang~Pinaki~,Electrical and Computer Engineering~University of California - Los Angeles~Electrical Engineering~,National Science Foundation,Collective Computation with Self Assembled Quantum Dots and Nanowires: A Cellular Neural Network Paradigm,1-Jun-05,31-Aug-12,1999628,Award In Closeout,13-Feb-13,N,ECCS-0506710 008
PT095051,Fatouros,Panos,Radiology,Broaddus~Corwin~Tatum~Fatouros~Chen~Kettenmann~,William~Frank~James~Panos~Zhi-Jian~Birgit~,Neurosurgery~Radiology~Radiology~Radiology~Neurosurgery~Radiology~,Virginia Polytechnic Institute and State University,NIRT An Optimized Nanosphere Platform for High Resolution Multi-Modality Imaging Applications,1-Jul-05,31-Jan-10,409754,Award Closed,26-Nov-13,N,20007-477370 Mod 3
PT095052,Ritter,Joseph,Pharmacology and Toxicology,Ritter~,Joseph~,Pharmacology and Toxicology~,National Institutes of Health,Glucuronidation and GI Toxicity of Mycophenolic Acid,1-May-05,30-Apr-07,46860,Proposal Not Awarded,30-May-06,N,NA
PT095053,Satin,Leslie,Pharmacology and Toxicology,Satin~,Leslie~,Pharmacology and Toxicology~,National Institutes of Health,Traumatic Brain Injury Effects on Neuronal GABAA Currents,1-May-05,30-Apr-08,46860,Proposal Not Awarded,6-May-05,N,1F31NS052968-01
PT095054,Younger,Janet,Deans Office - Nursing,Younger~,Janet~,Deans Office - Nursing~,Health Resources and Services Administration/DHHS,Advanced Education Nursing Traineeship Program FY2005,1-Jul-05,30-Jun-06,3401305,Proposal Not Awarded,28-Apr-06,N,2A10HP00149-06-00
PT095055,Nixon,Daniel,Infectious Disease,Nixon~,Daniel~,Infectious Disease~,Social & Scientific Systems_ Inc.,Richmond AIDS Consortium Community Programs Clinical Research,1-Apr-04,31-Mar-05,365268,Proposal Not Awarded,20-Aug-05,N,5UO1AI42179-13
PT095056,Ginder,Gordon,Hematology/Oncology - Internal Medicine,Ginder~,Gordon~,Hematology/Oncology - Internal Medicine~,National Institutes of Health,Regulation of Class 1 Gene Expression in Tumor Cells,1-Jan-05,31-Mar-06,10855,Proposal Not Awarded,31-Mar-06,N,PA-99-104
PT095058,Desai,Umesh,Medicinal Chemistry Pharmacy,Desai~,Umesh~,Medicinal Chemistry Pharmacy~,NovelMed Therapeutics_ Inc.,Novel_ Rationally-Designed Synthetic Non-heparin Antithrombin Activators,1-Sep-05,31-Aug-07,93125,Award Archived,18-Oct-12,N,1R41HL81972-01
PT095059,White,Kimber,Pharmacology and Toxicology,White~,Kimber~,Pharmacology and Toxicology~,National Institutes of Health,Immunomodulation by Dibenz(a_h)anthracene in B6C3F1 Mice,15-May-05,14-May-07,46860,Proposal Not Awarded,29-Apr-05,N,1F31ES014111-01
PT095060,Jena,Puru,Physics,Jena~,Puru~,Physics~,National Science Foundation,NER: Nano-Boron as a Hydrogen Storage-Material,1-Jul-05,30-Jun-06,105270,Proposal Not Awarded,15-Dec-05,N,508132
PT095061,Johnstone,Dan,Electrical and Computer Engineering,Johnstone~,Dan~,Electrical and Computer Engineering~,Department of Defense,Quasi-bulk GaN Grown on ZnO Substrates by Hydride Vapor Phase Epitaxy,1-Jan-05,31-Dec-07,132084,Proposal Not Awarded,26-May-06,N,NA
PT095062,Sidorov,Vladimir,Chemistry,Sidorov~,Vladimir~,Chemistry~,National Science Foundation,Functional Nanodevices Based on Liposomes Modified with Ionophores,1-Apr-05,1-Apr-06,132110,Award Destroyed,14-Jan-13,N,ECS-0508381
PT095063,Christenbury,Leila,SOE Teach Lrng Dept,Christenbury~,Leila~,SOE Teach Lrng Dept~,Department of Education,Project Professional Opportunities for Developing Excellent Teachers in ESL,30-Sep-04,29-Sep-05,276272,Proposal Not Awarded,20-Aug-05,N,T195NO20039-04
PT095064,Farrell,Nicholas,Chemistry,Farrell~,Nicholas~,Chemistry~,U.S.-Israel Binational Science Foundation,Mechanistic Studies on the Mode of Action of Non-classical Platinum Anticancer Agents,1-Jul-05,30-Jun-09,9200,Proposal Not Awarded,29-Aug-05,N,NA
PT095067,Dukat Glennon,Malgorzata,Medicinal Chemistry Pharmacy,Dukat Glennon~,Malgorzata~,Medicinal Chemistry Pharmacy~,National Headache Foundation,Unraveling Mechanisms in Pain Control,1-Mar-05,28-Feb-06,17000,Proposal Not Awarded,31-Mar-06,N,NA
PT095068,Tseng,Gea-Ny,Physiology and Biophysics,Tseng~,Gea-Ny~,Physiology and Biophysics~,National Institutes of Health,Structural Analysis of K Channel Alpha and Beta Subunits,1-Jul-05,30-Jun-08,40320,Proposal Not Awarded,21-Mar-06,N,1R03TW006953-01A1
PT095069,Morkoc,Hadis,Electrical and Computer Engineering,Morkoc~,Hadis~,Electrical and Computer Engineering~,Department of Energy,Characterization and Analysis of Point and Extended Defects in Gallium Nitride,1-Jun-05,31-May-09,222883,Proposal Not Awarded,15-Dec-05,N,ER05-011247
PT095070,Abell,Melissa,MSW Program,Abell~,Melissa~,MSW Program~,Bon Secours Richmond Health System,Evaluation of the Multi-Family Group Weekend Retreat,1-Jul-05,30-Jun-06,20000,Proposal Not Awarded,21-Mar-06,N,NA
PT095071,Worthington,Everett,Psychology,Worthington~,Everett~,Psychology~,National Institutes of Health,Marriage Dynamics_ Interventions_ and Mental Health,1-Jun-05,31-May-07,44452,Proposal Not Awarded,31-Mar-06,N,1F31MH071964-01A1
PT095072,Vrana,Scott,Psychology,Vrana~,Scott~,Psychology~,National Institutes of Health,Enhancing Imaginal Exposure Treatment Through Response Training,1-Sep-05,31-Aug-08,34386,Proposal Not Awarded,27-Apr-06,N,NA
PT095074,Ingram,Kathleen,Psychology,Ingram~,Kathleen~,Psychology~,National Institutes of Health,Daily Coping in Context: Parenting a Child with Autism,15-May-05,14-May-07,30952,Proposal Not Awarded,16-Jun-06,N,NA
PT095075,Belgrave,Faye,Psychology,Belgrave~,Faye~,Psychology~,National Institutes of Health,Contributors to Sexual Risk Among African-American Women,1-Sep-05,1-Aug-07,41426,Proposal Not Awarded,31-Mar-06,N,NA
PT095076,Mossi,Karla,Mechanical Engineering,Mossi~,Karla~,Mechanical Engineering~,National Aeronautics & Space Administration,Flow Control using Piezoelectric Actuators for use on Coanda Valves and Synthetic Jets Part II,5-Feb-05,4-Feb-06,246321,Proposal Not Awarded,19-Aug-05,N,NNL04AA04G
PT095077,Gibson,Barbara,SOE Teach Lrng Dept,Gibson~,Barbara~,SOE Teach Lrng VALRC~,Virginia Department of Education,Adult Literacy Sevices for Race to GED Initiative,8-Aug-05,1-Dec-05,100000,Award Destroyed,17-Jan-13,N,86660-R2GED-06-881
PT095078,Fallacaro,Michael,Nurse Anesthesia,George-Gay~Fallacaro~Clarke~,Beverly~Michael~Gerald~,Nurse Anesthesia~Nurse Anesthesia~Occupational Therapy~,Health Resources and Services Administration/DHHS,VCU Rural Nurse Anesthesia Education Project,1-Jul-05,30-Jun-08,374787,Award Archived,18-Oct-12,N,5D09HP05325-03-00
PT095079,Svikis Pickens,Dace,Psychology,Svikis Pickens~,Dace~,Psychology~,Patient Education Programs LLC,New Born Knowledge: Computer-Assisted Education for New Moms,1-Jul-05,30-Jun-06,63000,Proposal Not Awarded,31-Mar-06,N,NA
PT095080,Grant,Steven,Hematology/Oncology - Internal Medicine,Grant~,Steven~,Hematology/Oncology - Internal Medicine~,Leukemia and Lymphoma Society,Novel Approaches to Circumvention of STI571 Resistance in Bcr/Abl+ Hematologic Malignancies,31-Dec-02,30-Dec-05,250340,Proposal Not Awarded,23-Aug-05,N,6045-03
PT095081,Stern,Marilyn,Psychology,Stern~,Marilyn~,Psychology~,National Institutes of Health,Obese Adolescents' Self-Esteem: Psychosocial Predictors,1-Sep-05,31-Aug-07,35610,Proposal Not Awarded,28-Nov-05,N,1F31MH075232-01
PT095082,Dupree,Jeffrey,Anatomy and Neurobiology,Dupree~,Jeffrey~,Anatomy and Neurobiology~,Alzheimer's Association,The Role of Sulfatide in Maintaining Neuronal Structure,1-Sep-05,31-Aug-07,49848,Proposal Not Awarded,22-Mar-06,N,NA
PT095083,Grap,Mary,Adult Health and Nursing Systems,Grap~,Mary~,Adult Health and Nursing Systems~,National Institutes of Health,Manifestation and Effect of Patient-Ventilator Dysynchrony,1-May-05,30-Apr-08,31154,Proposal Not Awarded,13-Dec-05,N,1F31NR009623-01
PT095084,Boyle,Anne,Adult Health and Nursing Systems,Boyle~,Anne~,Adult Health and Nursing Systems~,National Institutes of Health,Measures of Oral Health in Persons with Asthma,1-May-05,30-Aug-07,31154,Proposal Not Awarded,22-Mar-06,N,1F31NR009617-01
PT095085,Salyer,Jeanne,Adult Health and Nursing Systems,Salyer~,Jeanne~,Adult Health and Nursing Systems~,National Institutes of Health,Health-Promoting Lifestyle Behaviors of Post-MI Patients,1-May-05,30-Aug-07,31154,Proposal Not Awarded,31-Mar-06,N,1F31NR009620-01A1
PT095086,Munro,Cindy,Adult Health and Nursing Systems,Munro~,Cindy~,Adult Health and Nursing Systems~,National Institutes of Health,Risk Reduction: Oral Care_ Bacteremia & Critical Care,1-May-05,1-Jun-08,31154,Proposal Not Awarded,13-Dec-05,N,1F31NR009596-01A1
PT095087,Hutchinson,Janet,Wilder School of Government and Public Affairs,Hutchinson~,Janet~,Wilder School of Government and Public Affairs~,Chesterfield County,County-College/University Partnership for Creation of a Tiered Degree Program,1-Jul-05,30-Jun-08,138853,Proposal Not Awarded,31-Mar-06,N,RFP# 04-5312-9048
PT095088,Ellis,James,Survey and Evaluation Research Laboratory,Ellis~,James~,Survey and Evaluation Research Laboratory~,Atlanta Research and Education Foundation_ Inc.,FoodNet Surveillance Surveys 2005,1-Jan-05,31-Dec-06,885438,Proposal Not Awarded,22-Mar-06,N,NA
PT095089,Brown,Bonnie,Biology,Brown~,Bonnie~,Biology~,Virginia Department of Game & Inland Fisheries,Population Genetic and Population Viability Analyses of Roanoke Bass (Ambloplites cavifrons) in Virginia and North Carolina,1-Jun-05,31-May-06,39465,Proposal Not Awarded,31-Mar-06,N,NA
PT095090,Brown,Bonnie,Biology,Brown~,Bonnie~,Biology~,Virginia Department of Game & Inland Fisheries,Genetic Evaluation of Restoration Success in American Shad Returning to James River,1-Jan-05,31-Dec-06,57418,Proposal Not Awarded,31-Mar-06,N,NA
PT095091,Myers,Barbara,Psychology,Myers~,Barbara~,Psychology~,National Institutes of Health,The Influence of a Belief in Recovery on Parents of Children with Autism,1-Sep-05,31-Aug-07,30913,Proposal Not Awarded,23-Jun-06,N,NA
PT095092,Balster,Robert,Pharmacology and Toxicology,Balster~,Robert~,Pharmacology and Toxicology~,National Institutes of Health,How Does the Variability in Substance Abuse Terminology Affect Physician Prescribing Behavior?,1-Jul-05,31-Dec-06,34389,Proposal Not Awarded,22-Mar-06,N,1F31DA020232-01
PT095093,Kupstas,Paula,Center on Aging,Kupstas~,Paula~,Center on Aging~,Department of Justice,Training for Judges_ Court Personnel_ and other Criminal Justice Professionals,1-Apr-05,30-Jun-05,2500,Proposal Not Awarded,31-Mar-06,N,NA
PT095094,Mazzeo,Suzanne,Psychology,Mazzeo~,Suzanne~,Psychology~,National Institutes of Health,Stress and Binge Eating in Diverse Obese Adolescents,15-May-05,14-May-07,40790,Proposal Not Awarded,22-Mar-06,N,1F31MH075511-01
PT095095,Farrell,Albert,Psychology,Vulin~Farrell~,Monique~Albert~,Psychology~Psychology~,National Institute of Mental Health/NIH/DHHS,Exposure to Community Violence_ Schemas and Youth Adjustment Fellow: Monique Vulin,1-Sep-05,31-May-08,113810,Award Destroyed,7-Jul-14,N,5F31MH075251-02
PT095096,Shiang,Rita,Human and Molecular Genetics,Shows~Shiang~,Kathryn~Rita~,Human and Molecular Genetics~Human and Molecular Genetics~,National Institute of Dental and Craniofacial Research/NIH/DHHS,Regulation of Treacher Collins Syndrome TCOF1 Gene Fellow: Kathryn Shows,1-Aug-06,31-Jul-08,146052,Award Closed,3-Sep-09,N,5F32DE017065-03
PT095097,Lipp,Susan,Deans Office - Nursing,Moon~Lipp~,Martha~Susan~,Family and Community Health Nursing~Deans Office - Nursing~,Department of Health & Human Services,Public Health Nurses for Virginia's Future_ Part Two,1-Jul-05,30-Jun-09,806311,Award In Closeout,15-Sep-09,N,4D65HP05367-03-01
